 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	50.000	64.000	-1.000	-1.000	126.000
2	1.000	2.000	49.000	66.000	0.288	0.144	126.000
3	1.000	3.000	49.000	66.000	0.000	0.000	122.000
4	1.000	4.000	49.000	66.000	0.000	0.000	122.000
5	1.000	5.000	49.000	66.000	0.000	0.000	124.000
6	1.000	6.000	50.000	66.000	0.129	0.064	145.000
7	1.000	7.000	49.000	67.000	0.182	0.091	142.000
8	1.000	8.000	47.000	88.000	2.721	1.361	126.000
9	1.000	9.000	47.000	90.000	0.258	0.129	148.000
10	1.000	10.000	47.000	94.000	0.516	0.258	151.000
11	1.000	11.000	46.000	95.000	0.182	0.091	126.000
12	1.000	12.000	47.000	96.000	0.182	0.091	177.000
13	1.000	13.000	47.000	96.000	0.000	0.000	182.000
14	1.000	14.000	47.000	95.000	0.129	0.064	137.000
15	1.000	15.000	47.000	94.000	0.129	0.064	148.000
16	1.000	16.000	47.000	94.000	0.000	0.000	151.000
17	1.000	17.000	48.000	95.000	0.182	0.091	182.000
18	1.000	18.000	44.000	101.000	0.930	0.465	128.000
19	1.000	19.000	43.000	103.000	0.288	0.144	160.000
20	1.000	20.000	44.000	104.000	0.182	0.091	177.000
21	1.000	21.000	44.000	104.000	0.000	0.000	189.000
22	1.000	22.000	41.000	107.000	0.547	0.274	135.000
23	1.000	23.000	49.000	109.000	1.064	0.532	103.000
24	1.000	24.000	50.000	109.000	0.129	0.064	109.000
25	1.000	25.000	50.000	109.000	0.000	0.000	103.000
26	1.000	26.000	50.000	110.000	0.129	0.064	132.000
27	1.000	27.000	65.000	110.000	1.935	0.968	130.000
28	1.000	28.000	71.000	109.000	0.785	0.392	117.000
29	1.000	29.000	71.000	110.000	0.129	0.064	130.000
30	1.000	30.000	72.000	109.000	0.182	0.091	117.000
31	1.000	31.000	72.000	109.000	0.000	0.000	117.000
32	1.000	32.000	85.000	94.000	2.561	1.280	192.000
33	1.000	33.000	89.000	90.000	0.730	0.365	201.000
34	1.000	34.000	89.000	88.000	0.258	0.129	182.000
35	1.000	35.000	91.000	87.000	0.288	0.144	169.000
36	1.000	36.000	92.000	82.000	0.658	0.329	169.000
37	1.000	37.000	93.000	81.000	0.182	0.091	160.000
38	1.000	38.000	95.000	74.000	0.939	0.470	142.000
39	1.000	39.000	95.000	54.000	2.580	1.290	130.000
40	1.000	40.000	96.000	53.000	0.182	0.091	163.000
41	1.000	41.000	95.000	54.000	0.182	0.091	124.000
42	1.000	42.000	96.000	55.000	0.182	0.091	169.000
43	1.000	43.000	87.000	35.000	2.829	1.415	132.000
44	1.000	44.000	84.000	32.000	0.547	0.274	156.000
45	1.000	45.000	78.000	30.000	0.816	0.408	156.000
46	1.000	46.000	79.000	29.000	0.182	0.091	122.000
47	1.000	47.000	79.000	29.000	0.000	0.000	128.000
48	1.000	48.000	80.000	29.000	0.129	0.064	122.000
49	1.000	49.000	80.000	29.000	0.000	0.000	132.000
50	1.000	50.000	80.000	30.000	0.129	0.064	130.000
51	1.000	51.000	62.000	22.000	2.541	1.271	128.000
52	1.000	52.000	61.000	22.000	0.129	0.064	122.000
53	1.000	53.000	60.000	21.000	0.182	0.091	120.000
54	1.000	54.000	61.000	21.000	0.129	0.064	103.000
55	1.000	55.000	60.000	22.000	0.182	0.091	126.000
56	1.000	56.000	61.000	22.000	0.129	0.064	105.000
57	1.000	57.000	56.000	23.000	0.658	0.329	120.000
58	1.000	58.000	53.000	24.000	0.408	0.204	130.000
59	1.000	59.000	54.000	24.000	0.129	0.064	126.000
60	1.000	60.000	46.000	26.000	1.064	0.532	128.000
61	1.000	61.000	44.000	28.000	0.365	0.182	148.000
62	1.000	62.000	27.000	39.000	2.612	1.306	145.000
