 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	15.000	58.000	-1.000	-1.000	89.000
2	1.000	2.000	16.000	60.000	0.288	0.144	129.000
3	1.000	3.000	17.000	59.000	0.182	0.091	163.000
4	1.000	4.000	17.000	58.000	0.129	0.064	159.000
5	1.000	5.000	15.000	60.000	0.365	0.182	108.000
6	1.000	6.000	15.000	63.000	0.387	0.194	102.000
7	1.000	7.000	15.000	65.000	0.258	0.129	87.000
8	1.000	8.000	16.000	66.000	0.182	0.091	113.000
9	1.000	9.000	17.000	68.000	0.288	0.144	176.000
10	1.000	10.000	16.000	69.000	0.182	0.091	125.000
11	1.000	11.000	17.000	70.000	0.182	0.091	166.000
12	1.000	12.000	15.000	70.000	0.258	0.129	91.000
13	1.000	13.000	17.000	75.000	0.695	0.347	121.000
14	1.000	14.000	19.000	78.000	0.465	0.233	169.000
15	1.000	15.000	19.000	81.000	0.387	0.194	139.000
16	1.000	16.000	20.000	81.000	0.129	0.064	189.000
17	1.000	17.000	21.000	85.000	0.532	0.266	136.000
18	1.000	18.000	67.000	75.000	6.073	3.036	200.000
19	1.000	19.000	96.000	60.000	4.212	2.106	125.000
20	1.000	20.000	98.000	60.000	0.258	0.129	148.000
21	1.000	21.000	94.000	53.000	1.040	0.520	144.000
22	1.000	22.000	87.000	40.000	1.905	0.952	153.000
23	1.000	23.000	86.000	40.000	0.129	0.064	134.000
24	1.000	24.000	65.000	26.000	3.256	1.628	139.000
25	1.000	25.000	66.000	27.000	0.182	0.091	159.000
26	1.000	26.000	66.000	26.000	0.129	0.064	136.000
27	1.000	27.000	64.000	25.000	0.288	0.144	127.000
28	1.000	28.000	56.000	24.000	1.040	0.520	121.000
29	1.000	29.000	48.000	27.000	1.102	0.551	93.000
30	1.000	30.000	50.000	24.000	0.465	0.233	127.000
31	1.000	31.000	35.000	29.000	2.040	1.020	123.000
32	1.000	32.000	85.000	37.000	6.532	3.266	144.000
33	1.000	33.000	86.000	39.000	0.288	0.144	163.000
34	1.000	34.000	86.000	39.000	0.000	0.000	148.000
35	1.000	35.000	84.000	39.000	0.258	0.129	192.000
36	1.000	36.000	85.000	37.000	0.288	0.144	121.000
37	1.000	37.000	85.000	37.000	0.000	0.000	134.000
38	1.000	38.000	86.000	38.000	0.182	0.091	112.000
39	1.000	39.000	87.000	39.000	0.182	0.091	163.000
40	1.000	40.000	89.000	39.000	0.258	0.129	156.000
41	1.000	41.000	89.000	38.000	0.129	0.064	144.000
42	1.000	42.000	88.000	38.000	0.129	0.064	136.000
43	1.000	43.000	87.000	38.000	0.129	0.064	121.000
44	1.000	44.000	87.000	38.000	0.000	0.000	121.000
45	1.000	45.000	87.000	38.000	0.000	0.000	121.000
46	1.000	46.000	87.000	38.000	0.000	0.000	131.000
47	1.000	47.000	86.000	38.000	0.129	0.064	113.000
48	1.000	48.000	86.000	38.000	0.000	0.000	108.000
49	1.000	49.000	86.000	38.000	0.000	0.000	116.000
50	1.000	50.000	86.000	38.000	0.000	0.000	110.000
51	1.000	51.000	85.000	37.000	0.182	0.091	136.000
52	1.000	52.000	85.000	36.000	0.129	0.064	108.000
53	1.000	53.000	84.000	35.000	0.182	0.091	110.000
54	1.000	54.000	79.000	31.000	0.826	0.413	134.000
55	1.000	55.000	78.000	31.000	0.129	0.064	166.000
56	1.000	56.000	77.000	29.000	0.288	0.144	134.000
57	1.000	57.000	75.000	28.000	0.288	0.144	148.000
58	1.000	58.000	75.000	27.000	0.129	0.064	148.000
59	1.000	59.000	75.000	29.000	0.258	0.129	153.000
60	1.000	60.000	74.000	26.000	0.408	0.204	129.000
61	1.000	61.000	60.000	24.000	1.824	0.912	127.000
62	1.000	62.000	57.000	25.000	0.408	0.204	144.000
