 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	93.000	48.000	-1.000	-1.000	133.000
2	1.000	2.000	92.000	41.000	0.912	0.456	87.000
3	1.000	3.000	92.000	41.000	0.000	0.000	90.000
4	1.000	4.000	92.000	41.000	0.000	0.000	92.000
5	1.000	5.000	92.000	41.000	0.000	0.000	85.000
6	1.000	6.000	92.000	41.000	0.000	0.000	92.000
7	1.000	7.000	92.000	41.000	0.000	0.000	83.000
8	1.000	8.000	92.000	41.000	0.000	0.000	90.000
9	1.000	9.000	90.000	38.000	0.465	0.233	114.000
10	1.000	10.000	90.000	38.000	0.000	0.000	114.000
11	1.000	11.000	90.000	36.000	0.258	0.129	110.000
12	1.000	12.000	85.000	34.000	0.695	0.347	147.000
13	1.000	13.000	84.000	33.000	0.182	0.091	139.000
14	1.000	14.000	84.000	33.000	0.000	0.000	139.000
15	1.000	15.000	83.000	33.000	0.129	0.064	162.000
16	1.000	16.000	80.000	32.000	0.408	0.204	147.000
17	1.000	17.000	79.000	31.000	0.182	0.091	119.000
18	1.000	18.000	79.000	31.000	0.000	0.000	130.000
19	1.000	19.000	79.000	31.000	0.000	0.000	110.000
20	1.000	20.000	79.000	31.000	0.000	0.000	174.000
21	1.000	21.000	73.000	22.000	1.395	0.698	150.000
22	1.000	22.000	60.000	17.000	1.797	0.898	143.000
23	1.000	23.000	59.000	15.000	0.288	0.144	110.000
24	1.000	24.000	57.000	15.000	0.258	0.129	85.000
25	1.000	25.000	56.000	15.000	0.129	0.064	82.000
26	1.000	26.000	56.000	15.000	0.000	0.000	85.000
27	1.000	27.000	56.000	15.000	0.000	0.000	90.000
28	1.000	28.000	57.000	16.000	0.182	0.091	127.000
29	1.000	29.000	57.000	16.000	0.000	0.000	117.000
30	1.000	30.000	57.000	17.000	0.129	0.064	139.000
31	1.000	31.000	57.000	17.000	0.000	0.000	147.000
32	1.000	32.000	54.000	19.000	0.465	0.233	139.000
33	1.000	33.000	54.000	19.000	0.000	0.000	135.000
34	1.000	34.000	30.000	25.000	3.191	1.596	133.000
35	1.000	35.000	30.000	25.000	0.000	0.000	147.000
36	1.000	36.000	31.000	24.000	0.182	0.091	143.000
37	1.000	37.000	31.000	24.000	0.000	0.000	130.000
38	1.000	38.000	30.000	24.000	0.129	0.064	127.000
39	1.000	39.000	30.000	24.000	0.000	0.000	135.000
40	1.000	40.000	30.000	24.000	0.000	0.000	135.000
41	1.000	41.000	24.000	27.000	0.865	0.433	123.000
42	1.000	42.000	24.000	28.000	0.129	0.064	130.000
43	1.000	43.000	24.000	28.000	0.000	0.000	123.000
44	1.000	44.000	28.000	25.000	0.645	0.322	114.000
45	1.000	45.000	28.000	25.000	0.000	0.000	127.000
46	1.000	46.000	28.000	25.000	0.000	0.000	123.000
47	1.000	47.000	28.000	25.000	0.000	0.000	114.000
48	1.000	48.000	28.000	25.000	0.000	0.000	123.000
49	1.000	49.000	28.000	25.000	0.000	0.000	123.000
50	1.000	50.000	28.000	25.000	0.000	0.000	119.000
51	1.000	51.000	28.000	24.000	0.129	0.064	130.000
52	1.000	52.000	31.000	23.000	0.408	0.204	110.000
53	1.000	53.000	31.000	23.000	0.000	0.000	114.000
54	1.000	54.000	31.000	23.000	0.000	0.000	112.000
55	1.000	55.000	31.000	23.000	0.000	0.000	123.000
56	1.000	56.000	31.000	23.000	0.000	0.000	117.000
57	1.000	57.000	31.000	23.000	0.000	0.000	123.000
58	1.000	58.000	31.000	23.000	0.000	0.000	127.000
59	1.000	59.000	31.000	23.000	0.000	0.000	114.000
60	1.000	60.000	32.000	23.000	0.129	0.064	127.000
61	1.000	61.000	32.000	23.000	0.000	0.000	123.000
62	1.000	62.000	32.000	23.000	0.000	0.000	130.000
