 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	71	75	-1	-1	160
2	1	2	71	75	0	0	163
3	1	3	71	75	0	0	171
4	1	4	71	75	0	0	177
5	1	5	71	75	0	0	157
6	1	6	71	75	0	0	148
7	1	7	71	75	0	0	163
8	1	8	71	75	0	0	168
9	1	9	73	76	0.288	0.144	177
10	1	10	79	76	0.774	0.387	177
11	1	11	80	75	0.182	0.091	163
12	1	12	80	75	0	0	177
13	1	13	80	75	0	0	166
14	1	14	80	75	0	0	177
15	1	15	80	75	0	0	171
16	1	16	80	75	0	0	177
17	1	17	80	75	0	0	180
18	1	18	80	75	0	0	168
19	1	19	80	75	0	0	160
20	1	20	80	75	0	0	177
21	1	21	80	75	0	0	163
22	1	22	80	75	0	0	193
23	1	23	80	75	0	0	174
24	1	24	80	75	0	0	186
25	1	25	80	75	0	0	166
26	1	26	80	75	0	0	177
27	1	27	80	75	0	0	177
28	1	28	80	75	0	0	186
29	1	29	80	75	0	0	186
30	1	30	80	75	0	0	168
31	1	31	80	75	0	0	177
32	1	32	81	87	1.553	0.777	166
33	1	33	81	87	0	0	200
34	1	34	82	87	0.129	0.064	151
35	1	35	82	87	0	0	154
36	1	36	82	87	0	0	168
37	1	37	82	86	0.129	0.064	144
38	1	38	79	88	0.465	0.233	186
39	1	39	77	90	0.365	0.182	193
40	1	40	77	90	0	0	177
41	1	41	77	90	0	0	168
42	1	42	77	90	0	0	193
43	1	43	77	90	0	0	177
44	1	44	77	90	0	0	174
45	1	45	77	90	0	0	197
46	1	46	77	90	0	0	177
47	1	47	65	95	1.677	0.838	140
48	1	48	64	96	0.182	0.091	163
49	1	49	64	96	0	0	140
50	1	50	64	96	0	0	140
51	1	51	64	96	0	0	151
52	1	52	64	96	0	0	154
53	1	53	64	96	0	0	148
54	1	54	64	96	0	0	163
55	1	55	64	96	0	0	154
56	1	56	64	96	0	0	151
57	1	57	64	96	0	0	171
58	1	58	64	96	0	0	151
59	1	59	64	96	0	0	154
60	1	60	63	95	0.182	0.091	209
61	1	61	63	95	0	0	189
62	1	62	63	95	0	0	197
