 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	52.000	91.000	-1.000	-1.000	137.000
2	1.000	2.000	33.000	86.000	2.534	1.267	134.000
3	1.000	3.000	32.000	86.000	0.129	0.064	156.000
4	1.000	4.000	33.000	77.000	1.168	0.584	137.000
5	1.000	5.000	36.000	67.000	1.347	0.673	213.000
6	1.000	6.000	38.000	67.000	0.258	0.129	199.000
7	1.000	7.000	41.000	65.000	0.465	0.233	134.000
8	1.000	8.000	41.000	64.000	0.129	0.064	109.000
9	1.000	9.000	42.000	63.000	0.182	0.091	156.000
10	1.000	10.000	42.000	63.000	0.000	0.000	152.000
11	1.000	11.000	88.000	47.000	6.283	3.141	213.000
12	1.000	12.000	88.000	46.000	0.129	0.064	206.000
13	1.000	13.000	88.000	46.000	0.000	0.000	202.000
14	1.000	14.000	88.000	46.000	0.000	0.000	137.000
15	1.000	15.000	90.000	45.000	0.288	0.144	193.000
16	1.000	16.000	90.000	44.000	0.129	0.064	222.000
17	1.000	17.000	91.000	34.000	1.296	0.648	162.000
18	1.000	18.000	90.000	24.000	1.296	0.648	180.000
19	1.000	19.000	87.000	24.000	0.387	0.194	124.000
20	1.000	20.000	64.000	10.000	3.473	1.737	199.000
21	1.000	21.000	19.000	33.000	6.519	3.260	116.000
22	1.000	22.000	22.000	35.000	0.465	0.233	137.000
23	1.000	23.000	24.000	37.000	0.365	0.182	170.000
24	1.000	24.000	24.000	37.000	0.000	0.000	177.000
25	1.000	25.000	24.000	37.000	0.000	0.000	170.000
26	1.000	26.000	24.000	37.000	0.000	0.000	162.000
27	1.000	27.000	24.000	37.000	0.000	0.000	222.000
28	1.000	28.000	30.000	58.000	2.817	1.409	114.000
29	1.000	29.000	30.000	59.000	0.129	0.064	222.000
30	1.000	30.000	33.000	66.000	0.982	0.491	124.000
31	1.000	31.000	33.000	66.000	0.000	0.000	124.000
32	1.000	32.000	3.000	43.000	4.876	2.438	188.000
33	1.000	33.000	3.000	43.000	0.000	0.000	193.000
34	1.000	34.000	3.000	43.000	0.000	0.000	184.000
35	1.000	35.000	3.000	43.000	0.000	0.000	184.000
36	1.000	36.000	3.000	43.000	0.000	0.000	180.000
37	1.000	37.000	3.000	43.000	0.000	0.000	180.000
38	1.000	38.000	3.000	43.000	0.000	0.000	180.000
39	1.000	39.000	3.000	43.000	0.000	0.000	188.000
40	1.000	40.000	5.000	55.000	1.569	0.785	222.000
41	1.000	41.000	11.000	69.000	1.965	0.982	218.000
42	1.000	42.000	15.000	73.000	0.730	0.365	180.000
43	1.000	43.000	16.000	73.000	0.129	0.064	177.000
44	1.000	44.000	17.000	74.000	0.182	0.091	210.000
45	1.000	45.000	35.000	87.000	2.864	1.432	137.000
46	1.000	46.000	35.000	87.000	0.000	0.000	143.000
47	1.000	47.000	36.000	86.000	0.182	0.091	188.000
48	1.000	48.000	40.000	87.000	0.532	0.266	152.000
49	1.000	49.000	41.000	86.000	0.182	0.091	170.000
50	1.000	50.000	47.000	86.000	0.774	0.387	213.000
51	1.000	51.000	53.000	86.000	0.774	0.387	202.000
52	1.000	52.000	71.000	77.000	2.596	1.298	174.000
53	1.000	53.000	72.000	76.000	0.182	0.091	206.000
54	1.000	54.000	72.000	76.000	0.000	0.000	210.000
55	1.000	55.000	80.000	67.000	1.553	0.777	188.000
56	1.000	56.000	81.000	64.000	0.408	0.204	177.000
57	1.000	57.000	84.000	46.000	2.354	1.177	216.000
58	1.000	58.000	84.000	42.000	0.516	0.258	218.000
59	1.000	59.000	85.000	26.000	2.068	1.034	174.000
60	1.000	60.000	76.000	17.000	1.642	0.821	222.000
61	1.000	61.000	76.000	17.000	0.000	0.000	249.000
62	1.000	62.000	76.000	17.000	0.000	0.000	231.000
