index,cop,day,fname,by,Ok?,remarks
1,01_1D,5,01_1D_5,DB,0,
10,01_2B,5,01_2B_5,MS,0,
19,01_2C,5,01_2C_5,MS,0,
28,01_3D,5,01_3D_5,MS,0,
37,01_4A,5,01_4A_5,MS,0,
46,01_4D,5,01_4D_5,MS,0,
55,01_6C,5,01_6C_5,MS,0,
64,01_6D,5,01_6D_5,MS,0,
73,02_1C,5,02_1C_5,MS,0,
82,02_3B,5,02_3B_5,MS,0,
91,02_4B,5,02_4B_5,MS,0,
100,02_5A,5,02_5A_5,MS,0,
109,02_5C,5,02_5C_5,MS,0,
118,02_5D,5,02_5D_5,MS,0,
127,03_1C,5,03_1C_5,MS,0,
136,03_1D,5,03_1D_5,MS,0,
145,03_2C,5,03_2C_5,MS,0,
154,03_2D,5,03_2D_5,MS,0,
163,03_4A,5,03_4A_5,MS,0,
172,03_4D,5,03_4D_5,MS,0,
181,03_5D,5,03_5D_5,MS,0,
190,03_6B,5,03_6B_5,MS,0,
199,03_6C,5,03_6C_5,MS,0,
208,03_6D,5,03_6D_5,MS,0,
217,04_1C,5,04_1C_5,RL,0,
226,04_1D,5,04_1D_5,RL,0,
235,04_2A,5,04_2A_5,RL,0,
244,04_2C,5,04_2C_5,RL,0,
253,04_2D,5,04_2D_5,RL,0,
262,04_3A,5,04_3A_5,RL,0,
271,04_3C,5,04_3C_5,RL,0,
280,04_4A,5,04_4A_5,RL,0,
289,04_5B,5,04_5B_5,RL,0,
298,04_5C,5,04_5C_5,RL,0,
307,04_5D,5,04_5D_5,RL,0,
316,04_6A,5,04_6A_5,RL,0,
325,04_6B,5,04_6B_5,RL,0,
334,04_6D,5,04_6D_5,RL,0,
343,05_1D,5,05_1D_5,MS,0,
352,05_2C,5,05_2C_5,MS,0,
361,05_2D,5,05_2D_5,MS,0,
370,05_3B,5,05_3B_5,MS,0,
379,05_4B,5,05_4B_5,MS,0,
388,05_4D,5,05_4D_5,MS,0,
397,05_5C,5,05_5C_5,MS,0,
406,05_6B,5,05_6B_5,MS,0,
415,05_6C,5,05_6C_5,MS,0,
424,06_1A,5,06_1A_5,MS,0,
433,06_1B,5,06_1B_5,MS,0,
442,06_1C,5,06_1C_5,MS,0,
451,06_2A,5,06_2A_5,MS,0,
460,06_2D,5,06_2D_5,MS,0,
469,06_3A,5,06_3A_5,MS,0,
478,06_3B,5,06_3B_5,MS,0,
487,06_3C,5,06_3C_5,MS,0,
496,06_4A,5,06_4A_5,MS,0,
505,06_5A,5,06_5A_5,MS,0,
514,06_5C,5,06_5C_5,MS,0,
523,06_6A,5,06_6A_5,MS,0,
532,06_6B,5,06_6B_5,MS,0,
541,06_6C,5,06_6C_5,MS,0,
550,06_6D,5,06_6D_5,MS,0,
559,07_1A,5,07_1A_5,MS,0,
568,07_1D,5,07_1D_5,MS,0,
577,07_2A,5,07_2A_5,MS,0,
586,07_2B,5,07_2B_5,MS,0,
595,07_2D,5,07_2D_5,RL,0,
604,07_3B,5,07_3B_5,RL,0,
613,07_3C,5,07_3C_5,RL,0,
622,07_3D,5,07_3D_5,RL,0,
631,07_4D,5,07_4D_5,RL,0,
640,07_5B,5,07_5B_5,RL,0,
649,07_5C,5,07_5C_5,RL,0,
658,07_6A,5,07_6A_5,RL,0,
667,07_6B,5,07_6B_5,RL,0,
676,07_6D,5,07_6D_5,RL,0,
685,08_1D,5,08_1D_5,RL,0,
694,08_2A,5,08_2A_5,RL,0,
703,08_2C,5,08_2C_5,RL,0,
712,08_2D,5,08_2D_5,RL,0,
721,08_3B,5,08_3B_5,RL,0,
730,08_3D,5,08_3D_5,RL,0,
739,08_5B,5,08_5B_5,RL,0,
748,08_5C,5,08_5C_5,RL,0,
757,08_5D,5,08_5D_5,RL,0,
766,08_6C,5,08_6C_5,RL,0,
775,09_1B,5,09_1B_5,RL,0,
784,09_1C,5,09_1C_5,RL,0,
793,09_1D,5,09_1D_5,RL,0,
802,09_2B,5,09_2B_5,RL,0,
811,09_2D,5,09_2D_5,RL,0,
820,09_3D,5,09_3D_5,RL,0,
829,09_4A,5,09_4A_5,RL,0,
838,09_4B,5,09_4B_5,RL,0,
847,09_4D,5,09_4D_5,RL,0,
856,09_5D,5,09_5D_5,RL,0,
865,09_6B,5,09_6B_5,RL,0,
874,09_6C,5,09_6C_5,RL,0,
883,09_6D,5,09_6D_5,RL,0,
892,10_1C,5,10_1C_5,RL,0,
901,10_1D,5,10_1D_5,RL,0,
910,10_2A,5,10_2A_5,RL,0,
919,10_2C,5,10_2C_5,RL,0,
928,10_2D,5,10_2D_5,RL,0,
937,10_3B,5,10_3B_5,RL,0,
946,10_4C,5,10_4C_5,RL,0,
955,10_5C,5,10_5C_5,RL,0,
964,10_6B,5,10_6B_5,RL,0,
973,10_6D,5,10_6D_5,RL,0,
982,11_1C,5,11_1C_5,RL,0,
991,11_1D,5,11_1D_5,RL,0,
1000,11_2A,5,11_2A_5,RL,0,
1009,11_2C,5,11_2C_5,RL,0,
1018,11_4A,5,11_4A_5,RL,0,
1027,11_4B,5,11_4B_5,RL,0,
1036,11_5B,5,11_5B_5,RL,0,
1045,11_6C,5,11_6C_5,RL,0,
1054,11_6D,5,11_6D_5,RL,0,
1063,12_3C,5,12_3C_5,RL,0,
1072,12_4B,5,12_4B_5,RL,0,
1081,12_5D,5,12_5D_5,RL,0,
1090,12_6C,5,12_6C_5,RL,0,
1099,12_6D,5,12_6D_5,RL,0,
1108,13_1A,5,13_1A_5,RL,0,
1117,13_1B,5,13_1B_5,RL,0,
1126,13_1C,5,13_1C_5,RL,0,
1135,13_1D,5,13_1D_5,RL,0,
1144,13_2B,5,13_2B_5,RL,0,
1153,13_3C,5,13_3C_5,RL,0,
1162,13_3D,5,13_3D_5,RL,0,
1171,13_4A,5,13_4A_5,RL,0,
1180,13_5B,5,13_5B_5,RL,0,
1189,13_6A,5,13_6A_5,RL,0,
1198,13_6D,5,13_6D_5,RL,0,
1207,14_2A,5,14_2A_5,RL,0,
1216,14_2B,5,14_2B_5,RL,0,
1225,14_3A,5,14_3A_5,RL,0,
1234,14_3D,5,14_3D_5,RL,0,
1243,14_4A,5,14_4A_5,RL,0,
1252,14_4B,5,14_4B_5,RL,0,
1261,14_4D,5,14_4D_5,RL,0,
1270,14_5C,5,14_5C_5,RL,0,
1279,14_6C,5,14_6C_5,RL,0,
1288,15_1A,5,15_1A_5,RL,0,
1297,15_1C,5,15_1C_5,RL,0,
1306,15_2A,5,15_2A_5,RL,0,
1315,15_2C,5,15_2C_5,RL,0,
1324,15_2D,5,15_2D_5,RL,0,
1333,15_4A,5,15_4A_5,RL,0,
1342,15_5B,5,15_5B_5,RL,0,
1351,15_5D,5,15_5D_5,RL,0,
1360,15_6D,5,15_6D_5,RL,0,
1369,16_4B,5,16_4B_5,RL,0,
1378,16_5A,5,16_5A_5,RL,0,
1387,17_1D,5,17_1D_5,RL,0,
1396,17_2B,5,17_2B_5,RL,0,
1405,18_4A,5,18_4A_5,RL,0,
1414,18_5B,5,18_5B_5,RL,0,
1423,18_5D,5,18_5D_5,RL,0,
1432,18_6C,5,18_6C_5,RL,0,
